45,500
45,409
45,318
136,318
136,227
227,227
318,227
409,227
409,136
500,136
591,136
591,227
500,227
500,318
591,318
591,409
500,409
409,409
318,409
227,409
136,409
136,500
227,500
318,500
409,500
500,500
591,500
591,591
500,591
409,591
318,591
227,591
136,591
45,591
45,682
136,682
227,682
318,682
409,682
500,682
591,682
591,773
500,773
409,773
318,773
227,773
136,773
136,864
136,955
227,955
227,864
318,864
318,955
318,864
227,864
227,955
136,955
136,864
136,773
227,773
318,773
409,773
500,773
591,773
591,682
500,682
409,682
318,682
227,682
136,682
45,682
45,591
136,591
227,591
318,591
409,591
500,591
591,591
591,500
500,500
409,500
318,500
227,500
136,500
136,409
227,409
227,318
318,318
409,318
409,864
