45,500
45,409
45,318
136,227
227,227
318,227
409,136
500,136
591,136
591,227
500,227
409,227
500,318
409,318
318,318
227,318
136,318
227,409
136,409
227,500
318,409
409,409
500,409
591,318
591,409
591,500
500,500
409,500
318,500
227,591
136,682
45,682
136,773
136,864
136,955
227,955
318,864
409,773
500,773
591,773
500,682
409,591
318,591
409,682
500,591
591,591
591,682
591,591
500,591
409,682
318,682
227,682
136,591
45,591
136,500
45,591
136,591
227,682
227,773
227,864
318,955
227,864
318,773
409,864
